,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.region,license_plate.serial,license_plate.country,license_plate.mask
10,01261.jpg,"[0.17516, 0.17944, 0.79346, 0.8676]",86e49bd3-91c6-490a-b023-534eec753476,fully_visible,1,097REE_09_,,,Kazakhstan,"[0.46614, 0.74161, 0.63612, 0.72745, 0.63214, 0.77347, 0.46215, 0.79471]"
11,11030.jpg,"[0.19394, 0.15808, 0.86768, 0.86097]",ecf90bd3-202e-4cbb-892f-20bab6e3b38d,fully_visible,1,910HUA_11_,,,Kazakhstan,"[0.28685, 0.50476, 0.4409, 0.50104, 0.43958, 0.56228, 0.28287, 0.56228]"
12,07456.jpg,"[0.34167, 0.4713, 0.61597, 0.85278]",658d990d-052e-45e2-86f6-2b6bacc2bb33,fully_visible,2,87%_05_AT,,,Kazakhstan,"[0.54316, 0.7189, 0.53121, 0.66401, 0.58035, 0.64985, 0.59495, 0.70474]"
13,13661.jpg,"[0.145, 0.25333, 0.93, 0.91444]",26d4d7b9-60e4-487c-be02-9347ff6ce958,fully_visible,2,808%_10_AB,,,Kazakhstan,"[0.29089, 0.60488, 0.23724, 0.6014, 0.23855, 0.6642, 0.29089, 0.66594]"
14,14490.jpg,"[0.09861, 0.1037, 0.92083, 0.82407]",e6d79e21-c26d-4942-a7f8-71b0b48247a3,fully_visible,1,505DYA_03_,,,Kazakhstan,"[0.72097, 0.46337, 0.8535, 0.39108, 0.85748, 0.45277, 0.72627, 0.53228]"
15,05527.jpg,"[0.17936, 0.51731, 0.78542, 0.93075]",e9977ccc-60d5-4c88-8192-fd482b006133,fully_visible,2,070%_04_NUR,,,Kazakhstan,"[0.30244, 0.69895, 0.35647, 0.70402, 0.34989, 0.76142, 0.29322, 0.75805]"
16,10359.jpg,"[0.235, 0.08667, 0.89667, 0.67]",25223e34-11b1-491e-9160-f3fa92d3f3f2,fully_visible,2,864%_04_CFA,,,Kazakhstan,"[0.417, 0.35273, 0.417, 0.43064, 0.4927, 0.43064, 0.49668, 0.35096]"
17,00696.jpg,"[0.11765, 0.28558, 0.80344, 0.81023]",cfd42277-b389-498c-8cde-4895686f9895,fully_visible,2,DHA%_04_36,,,Kazakhstan,"[0.65693, 0.62959, 0.68614, 0.62959, 0.68481, 0.6623, 0.65428, 0.65885]"
18,11608.jpg,"[0.12583, 0.30556, 0.82583, 0.91222]",15b1e4a6-fad6-46e5-9773-a341f4a67dd9,fully_visible,2,484%_13_PDA,,,Kazakhstan,"[0.30407, 0.62081, 0.30275, 0.70542, 0.38472, 0.716, 0.38604, 0.63139]"
19,01354.jpg,"[0.29236, 0.27037, 0.80833, 0.89259]",9651a4b7-b732-4a4d-856d-bb5d344c969b,fully_visible,2,F119%DNN,,,Kazakhstan,"[0.47676, 0.52413, 0.55511, 0.52413, 0.55378, 0.59672, 0.47278, 0.60027]"
223,01261.jpg,"[0.2, 0.26673, 0.76296, 0.8215]",0687f8ce-fd5f-42ba-b524-4082f94bcb7c,fully_visible,2,VAZ%_05_40,,,Kazakhstan,"[0.59757, 0.71701, 0.62797, 0.71863, 0.62797, 0.7447, 0.59625, 0.74144]"
15381,05527.jpg,"[0.12986, 0.16667, 0.88056, 0.80556]",0c101aa7-7a27-4ae0-b161-37c84c921bfc,fully_visible,1,055JEB_02_,,,Kazakhstan,"[0.66291, 0.67769, 0.66028, 0.63034, 0.80496, 0.59176, 0.80628, 0.63385]"
22887,00696.jpg,"[0.04485, 0.05333, 0.98424, 0.87333]",739cbd80-1bf0-45b3-9047-4af249a3c2df,fully_visible,1,343RCA_09_,,,Kazakhstan,"[0.11687, 0.6026, 0.26959, 0.63547, 0.27224, 0.69756, 0.11687, 0.66469]"
25274,01354.jpg,"[0.2625, 0.42685, 0.87361, 0.77315]",9d733d93-cba9-4801-a65c-8a730ca67a1e,fully_visible,1,070VIP_15_,,,Kazakhstan,"[0.71241, 0.57769, 0.79056, 0.57479, 0.79273, 0.59563, 0.71502, 0.5991]"
26670,11608.jpg,"[0.10903, 0.18796, 0.89514, 0.8463]",250721e0-b10c-43e5-8601-dbe7882d8ebd,fully_visible,1,424EFA_12_,,,Kazakhstan,"[0.15971, 0.59452, 0.27629, 0.62309, 0.27281, 0.67092, 0.1612, 0.64169]"
27170,11030.jpg,"[0.17917, 0.08778, 0.84667, 0.89222]",ff7bc93c-752b-491d-8b67-e382248cce7b,fully_visible,2,3255%AS,,,Kazakhstan,"[0.64853, 0.52371, 0.72614, 0.50052, 0.72881, 0.59865, 0.6512, 0.62719]"
30397,13661.jpg,"[0.01736, 0.23148, 0.96667, 0.79907]",e38d98a0-7b79-4461-aee0-731af5f13620,fully_visible,1,007STA_02_,,,Kazakhstan,"[0.90969, 0.49402, 0.85525, 0.50288, 0.85923, 0.53475, 0.91235, 0.52767]"
51895,10359.jpg,"[0.0865, 0.18342, 0.9345, 0.88194]",b0f05dcd-d9b6-4781-9ff8-13ec0c7fd9d3,fully_visible,1,037XZA_02_,,,Kazakhstan,"[0.13855, 0.64095, 0.25832, 0.66713, 0.26098, 0.71389, 0.13989, 0.69145]"
60599,14490.jpg,"[0.13265, 0.16495, 0.87399, 0.94564]",aa9c8ddd-7b13-4b8f-bb74-701359b37a36,fully_visible,2,8639%MA,,,Kazakhstan,"[0.22399, 0.76774, 0.22399, 0.8025, 0.26727, 0.8054, 0.26727, 0.76967]"
