,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.region,license_plate.serial,license_plate.country,license_plate.mask
10,0001882.jpg,"[0.25157894736842107, 0.24982456140350878, 0.9010526315789473, 0.9501754385964912]",21c69e79-799a-48d9-aff5-06b3653a0c1d,fully_visible,1,_NI_148YĐ,,,Serbia,"[0.5373684210526316, 0.5684210526315789, 0.7357894736842105, 0.5592982456140351, 0.7373684210526316, 0.624561403508772, 0.5389473684210526, 0.6336842105263157]"
11,0087658.jpg,"[0.09513888888888888, 0.14166666666666666, 0.8972222222222223, 0.9138888888888889]",bd6ecfdd-b5ff-44a7-8078-53910ab42f19,fully_visible,1,_SA_023MN,,,Serbia,"[0.15138888888888888, 0.674074074074074, 0.2875, 0.7361111111111112, 0.2861111111111111, 0.7805555555555556, 0.14930555555555555, 0.7166666666666667]"
12,0078056.jpg,"[0.027777777777777776, 0.21296296296296297, 0.9701388888888889, 0.8472222222222222]",74186d44-e2b4-4ac4-9a89-afbe6e9d2b2b,fully_visible,1,_BG_1576RR,,,Serbia,"[0.7840277777777778, 0.6592592592592592, 0.7840277777777778, 0.7046296296296296, 0.9090277777777778, 0.6962962962962963, 0.9104166666666667, 0.6537037037037037]"
13,0091151.jpg,"[0.12166666666666667, 0.1988888888888889, 0.8891666666666667, 0.93]",12671c46-019e-444b-b47e-23c72bc860be,fully_visible,1,_SU_037LL,,,Serbia,"[0.195, 0.6544444444444445, 0.19333333333333333, 0.7177777777777777, 0.32666666666666666, 0.7788888888888889, 0.33, 0.7044444444444444]"
14,0018644.jpg,"[0.1822721598002497, 0.33910891089108913, 0.7933832709113608, 0.8217821782178217]",516fd55b-d74f-4785-82a5-07e17c51d6a7,fully_visible,1,_NV_006GR,,,Serbia,"[0.2752808988764045, 0.6633663366336634, 0.4044943820224719, 0.6608910891089109, 0.4051186017478152, 0.7070957095709571, 0.2752808988764045, 0.7054455445544554]"
15,0013693.jpg,"[0.08055555555555556, 0.12314814814814815, 0.9548611111111112, 0.950925925925926]",5ed1a6e6-7f34-4902-8aa2-8b4298dab6c0,fully_visible,1,_BG_469ĐH,,,Serbia,"[0.6770833333333334, 0.8231481481481482, 0.8409722222222222, 0.7611111111111111, 0.8243055555555555, 0.8027777777777778, 0.6618055555555555, 0.8740740740740741]"
16,0003049.jpg,"[0.07291666666666667, 0.09166666666666666, 0.9138888888888889, 0.9314814814814815]",5ba7d554-4ae7-400d-ae9e-4549ae1288ed,fully_visible,1,_BG_1629RV,,,Serbia,"[0.5229166666666667, 0.6546296296296297, 0.7395833333333334, 0.6731481481481482, 0.7361111111111112, 0.7435185185185185, 0.5236111111111111, 0.7240740740740741]"
17,0009965.jpg,"[0.10138888888888889, 0.30277777777777776, 0.9409722222222222, 0.9092592592592592]",778eac85-e607-4e57-aa17-7d57d14d9105,fully_visible,1,_NI_258NI,,,Serbia,"[0.2611111111111111, 0.6759259259259259, 0.4270833333333333, 0.6833333333333333, 0.42777777777777776, 0.7305555555555555, 0.25763888888888886, 0.7240740740740741]"
18,0021191.jpg,"[0.058333333333333334, 0.06759259259259259, 0.8923611111111112, 0.95]",cdd5d0a5-f736-49fd-a9ad-c8a37b848ad0,fully_visible,1,_BG_1833LO,,,Serbia,"[0.4131944444444444, 0.6574074074074074, 0.6451388888888889, 0.6611111111111111, 0.6451388888888889, 0.7240740740740741, 0.41388888888888886, 0.7185185185185186]"
19,0006722.jpg,"[0.1, 0.13148148148148148, 0.9645833333333333, 0.9074074074074074]",9f5714f4-27f8-4926-a004-baff03b8e508,fully_visible,1,_BG_1445BI,,,Serbia,"[0.29375, 0.42685185185185187, 0.5083333333333333, 0.42962962962962964, 0.5034722222222222, 0.5092592592592593, 0.2861111111111111, 0.5]"
